주차,아이템대분류,중분류,소분류,판매량,판매액,정상가환원매출,할인율(%)
200707,외의류,점퍼,일반점퍼,4251,190597700,287453800,33.7
200707,외의류,점퍼,패딩점퍼,2685,114785600,232737400,50.7
200707,외의류,코트,모직코트,527,31870000,64113800,50.3
200707,치마류,스커트,다이마루스커트,1050,26648000,30026000,11.3
200707,치마류,스커트,스커트짧은형,1849,45617200,69852200,34.7
200707,치마류,원피스,우븐나시원피스,4,120000,239200,49.8
200707,티셔츠류,긴팔티셔츠,무지긴팔티,13249,97568800,148485200,34.3
200707,티셔츠류,긴팔티셔츠,변형긴팔티,11567,192545400,244770600,21.3
200707,티셔츠류,나시형티셔츠,민소매티,10931,142556600,142679800,0.1
200707,티셔츠류,런닝형티셔츠,무지반팔티,2614,15684000,16064000,2.4
200707,티셔츠류,런닝형티셔츠,변형반팔티,4164,82277600,82349200,0.1
200707,티셔츠류,런닝형티셔츠,전사반팔티,28161,368811400,407143800,9.4
200707,티셔츠류,맨투맨,맨투맨무지,287,2583000,6162600,58.1
200707,티셔츠류,맨투맨,맨투맨변형,44908,1054511200,1511484400,30.2
200707,티셔츠류,반팔티셔츠,무지폴로티,447,2926600,5721600,48.8
200707,티셔츠류,반팔티셔츠,변형폴로티,698,17922000,18008400,0.5
200707,패션잡화,가방,가방,327,10326600,13388600,22.9
200707,패션잡화,모자,모자,1434,25474700,25917200,1.7
200707,패션잡화,벨트,벨트,703,15524600,19435400,20.1
200707,패션잡화,양말,양말,2123,8267000,8267000,0.0
200707,패션잡화,"우비,우산",우산,7,49000,68600,28.6
200707,패션잡화,장갑,장갑,12,133000,305600,56.5
200707,패션잡화,패브릭잡화,목도리(머플러),71,721400,1463800,50.7
200708,남성언더웨어,남성팬티,남성삼각,-9,-88200,-88200,0.0
200708,바지류,바지,다이마루바지,4726,119186400,125644800,5.1
200708,바지류,바지,반바지,467,4885800,7615400,35.8
200708,바지류,바지,변형바지,13960,543925100,649967200,16.3
200708,바지류,청바지,청바지,23944,1009736600,1091081200,7.5
200708,셔츠류,남방,무지 셔츠,653,16563000,16739400,1.1
200708,셔츠류,남방,변형 셔츠,547,19126400,22440600,14.8
200708,셔츠류,남방,스트라이프,1645,39377200,49717000,20.8
200708,셔츠류,남방,체크,16056,452343300,477444800,5.3
200708,스웨터류,스웨터,기본스웨터,3942,90783400,114281600,20.6
200708,스웨터류,스웨터,풀오버스웨터,7542,237926200,291621600,18.4
200708,스웨터류,스웨터가디건,가디건,8140,291068600,393916000,26.1
200708,스웨터류,스웨터조끼,조끼,54,1069200,1069200,0.0
200708,스포츠웨어류,수영복,수영복,2,40000,59600,32.9
200708,신발,슬리퍼,슬리퍼(신발류),27,264600,450600,41.3
200708,신발,캔버스화,운동화,1225,24052400,24837000,3.2
200708,액세서리,액세서리 기타,"와펜,브로찌류",86,1169800,1285800,9.0
200708,여성언더웨어,여성팬티,삼각팬티,-8,-24000,-62400,61.5
200708,외의류,점퍼,"가죽점퍼,무스탕",3,150000,287400,47.8
200708,외의류,점퍼,다운점퍼,689,24829000,54874000,54.8
200708,외의류,점퍼,일반점퍼,6179,333081600,427470200,22.1
